0;1.76786
1.00E-04;1.84362
2.00E-04;1.91938
3.00E-04;1.99515
4.00E-04;2.07091
5.00E-04;2.14667
6.00E-04;2.22243
7.00E-04;2.29819
8.00E-04;2.37395
9.00E-04;2.44971
1.00E-03;2.52547
1.10E-03;2.60123
1.20E-03;2.67699
1.30E-03;2.75275
1.40E-03;2.82851
1.50E-03;2.90427
1.60E-03;2.98003
1.70E-03;3.05579
1.80E-03;3.13156
1.90E-03;3.20732
2.00E-03;3.28308
2.10E-03;3.35884
2.20E-03;3.43460
2.30E-03;3.51036
2.40E-03;3.58612
2.50E-03;3.66188
2.60E-03;3.73764
2.70E-03;3.81340
2.80E-03;3.88916
2.90E-03;3.96492
3.00E-03;4.04068
3.10E-03;4.11644
3.20E-03;4.19221
3.30E-03;4.26797
3.40E-03;4.34373
3.50E-03;4.41949
3.60E-03;4.49525
3.70E-03;4.57101
3.80E-03;4.64677
3.90E-03;4.72253
4.00E-03;4.79829
4.10E-03;4.87405
4.20E-03;4.94981
4.30E-03;5.02557
4.40E-03;5.10133
4.50E-03;5.17709
4.60E-03;5.25285
4.70E-03;5.32862
4.80E-03;5.40438
4.90E-03;5.48014
5.00E-03;5.55590
5.10E-03;5.63166
5.20E-03;5.70742
5.30E-03;5.78318
5.40E-03;5.85894
5.50E-03;5.93470
5.60E-03;6.01046
5.70E-03;6.08622
5.80E-03;6.18106
5.90E-03;6.28523
6.00E-03;6.38940
6.10E-03;6.49357
6.20E-03;6.59774
6.30E-03;6.70191
6.40E-03;6.80609
6.50E-03;6.91026
6.60E-03;7.01443
6.70E-03;7.11860
6.80E-03;7.22277
6.90E-03;7.32694
7.00E-03;7.43111
7.10E-03;7.53528
7.20E-03;7.63945
7.30E-03;7.74362
7.40E-03;7.84779
7.50E-03;7.95197
7.60E-03;8.05614
7.70E-03;8.16031
7.80E-03;8.26448
7.90E-03;8.36865
8.00E-03;8.47282
8.10E-03;8.57699
8.20E-03;8.68116
8.30E-03;8.78533
8.40E-03;8.88950
8.50E-03;8.99368
8.60E-03;9.09785
8.70E-03;9.20202
8.80E-03;9.30619
8.90E-03;9.41036
9.00E-03;9.51453
9.10E-03;9.61870
9.20E-03;9.72287
9.30E-03;9.82704
9.40E-03;9.93121
9.50E-03;10.03538
9.60E-03;10.13956
9.70E-03;10.24373
9.80E-03;10.34790
9.90E-03;10.45207
0.01;10.55624
0.0101;10.66041
0.0102;10.76458
0.0103;10.86875
0.0104;10.97292
0.0105;11.07709
0.0106;11.18126
0.0107;11.28544
0.0108;11.38961
0.0109;11.49378
0.011;11.59795
0.0111;11.70212
0.0112;11.80629
0.0113;11.91046
0.0114;12.01463
0.0115;12.11880
0.0116;12.22304
0.0117;12.33668
0.0118;12.45032
0.0119;12.56397
0.012;12.67761
0.0121;12.79125
0.0122;12.90489
0.0123;13.01853
0.0124;13.13217
0.0125;13.24581
0.0126;13.35945
0.0127;13.47309
0.0128;13.58674
0.0129;13.70038
0.013;13.81402
0.0131;13.92766
0.0132;14.04130
0.0133;14.15494
0.0134;14.26858
0.0135;14.38222
0.0136;14.49586
0.0137;14.60950
0.0138;14.72315
0.0139;14.83679
0.014;14.95043
0.0141;15.06407
0.0142;15.17771
0.0143;15.29135
0.0144;15.40499
0.0145;15.51863
0.0146;15.63227
0.0147;15.74591
0.0148;15.85956
0.0149;15.97320
0.015;16.08684
0.0151;16.20048
0.0152;16.31412
0.0153;16.42776
0.0154;16.54140
0.0155;16.65504
0.0156;16.76868
0.0157;16.88232
0.0158;16.99597
0.0159;17.10961
0.016;17.22325
0.0161;17.33689
0.0162;17.45053
0.0163;17.56417
0.0164;17.67781
0.0165;17.79145
0.0166;17.90509
0.0167;18.01874
0.0168;18.13238
0.0169;18.24602
0.017;18.35966
0.0171;18.47330
0.0172;18.58694
0.0173;18.70058
0.0174;18.81422
0.0175;18.93111
0.0176;19.05422
0.0177;19.17733
0.0178;19.30044
0.0179;19.42356
0.018;19.54667
0.0181;19.66978
0.0182;19.79289
0.0183;19.91600
0.0184;20.03911
0.0185;20.16222
0.0186;20.28533
